Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Preparacion tarjeta venta,Chrome 104.0.5112.102,,,2022-09-08 16:30:22,2022-09-08 16:31:48,"1m - 26,167s",PASSED
,,,,,,,
Test Cases/Preparacion tarjeta venta,Chrome 104.0.5112.102,,,2022-09-08 16:30:23,2022-09-08 16:31:48,"1m - 25,431s",PASSED
"openBrowser(""https://qabanco.civica.com.co/civica/index.aspx"")",Chrome 104.0.5112.102,,,2022-09-08 16:30:24,2022-09-08 16:30:38,"14,106s",PASSED
waitForPageLoad(30),Chrome 104.0.5112.102,,,2022-09-08 16:30:38,2022-09-08 16:30:39,"0,823s",PASSED
maximizeWindow(),Chrome 104.0.5112.102,,,2022-09-08 16:30:39,2022-09-08 16:30:39,"0,185s",PASSED
"focus(findTestObject(""Inicio de sesion - Cívica Calidad/Inicio de sesion_Civica Calidad/input_Cdula usuario_txtLogin""))",Chrome 104.0.5112.102,,,2022-09-08 16:30:39,2022-09-08 16:30:40,"0,637s",PASSED
"setText(findTestObject(""Inicio de sesion - Cívica Calidad/Inicio de sesion_Civica Calidad/input_Cdula usuario_txtLogin""), findTestData(""Usuarios/Usuarios login"").getValue(1, 1))",Chrome 104.0.5112.102,,,2022-09-08 16:30:40,2022-09-08 16:30:45,"4,650s",PASSED
"focus(findTestObject(""Inicio de sesion - Cívica Calidad/Inicio de sesion_Civica Calidad/input_Contrasea_txtSena""))",Chrome 104.0.5112.102,,,2022-09-08 16:30:45,2022-09-08 16:30:45,"0,561s",PASSED
"setText(findTestObject(""Inicio de sesion - Cívica Calidad/Inicio de sesion_Civica Calidad/input_Contrasea_txtSena""), findTestData(""Usuarios/Usuarios login"").getValue(2, 1))",Chrome 104.0.5112.102,,,2022-09-08 16:30:45,2022-09-08 16:30:46,"0,939s",PASSED
"click(findTestObject(""Inicio de sesion - Cívica Calidad/Inicio de sesion_Civica Calidad/input_Contrasea_btnOk""))",Chrome 104.0.5112.102,,,2022-09-08 16:30:46,2022-09-08 16:30:52,"6,455s",PASSED
waitForPageLoad(30),Chrome 104.0.5112.102,,,2022-09-08 16:30:52,2022-09-08 16:30:53,"0,068s",PASSED
"click(findTestObject(""Pagina inicial/Page_Metro de Medelln - Sea bienvenido/em_Atencin_bv""))",Chrome 104.0.5112.102,,,2022-09-08 16:30:53,2022-09-08 16:30:53,"0,927s",PASSED
waitForPageLoad(30),Chrome 104.0.5112.102,,,2022-09-08 16:30:53,2022-09-08 16:30:54,"0,036s",PASSED
