Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Ajuste Credito,Chrome 105.0.0.0,,,2022-09-22 15:53:24,2022-09-22 15:57:48,"4m - 24,662s",PASSED
,,,,,,,
Test Cases/Ajuste credito - 10000,Chrome 105.0.0.0,,,2022-09-22 15:53:25,2022-09-22 15:55:26,"2m - 1,697s",PASSED
"openBrowser(""https://qabanco.civica.com.co/civica/index.aspx"")",Chrome 105.0.0.0,,,2022-09-22 15:53:26,2022-09-22 15:53:53,"27,448s",PASSED
waitForPageLoad(30),Chrome 105.0.0.0,,,2022-09-22 15:53:53,2022-09-22 15:53:55,"2,139s",PASSED
maximizeWindow(),Chrome 105.0.0.0,,,2022-09-22 15:53:55,2022-09-22 15:53:56,"0,315s",PASSED
"focus(findTestObject(""Inicio de sesion - Cívica Calidad/Inicio de sesion_Civica Calidad/input_Cdula usuario_txtLogin""))",Chrome 105.0.0.0,,,2022-09-22 15:53:56,2022-09-22 15:53:56,"0,853s",PASSED
"setText(findTestObject(""Inicio de sesion - Cívica Calidad/Inicio de sesion_Civica Calidad/input_Cdula usuario_txtLogin""), findTestData(""Usuarios/Usuarios login"").getValue(1, 1))",Chrome 105.0.0.0,,,2022-09-22 15:53:56,2022-09-22 15:54:01,"4,960s",PASSED
"focus(findTestObject(""Inicio de sesion - Cívica Calidad/Inicio de sesion_Civica Calidad/input_Contrasea_txtSena""))",Chrome 105.0.0.0,,,2022-09-22 15:54:01,2022-09-22 15:54:03,"1,674s",PASSED
"setText(findTestObject(""Inicio de sesion - Cívica Calidad/Inicio de sesion_Civica Calidad/input_Contrasea_txtSena""), findTestData(""Usuarios/Usuarios login"").getValue(2, 1))",Chrome 105.0.0.0,,,2022-09-22 15:54:03,2022-09-22 15:54:04,"0,970s",PASSED
"click(findTestObject(""Inicio de sesion - Cívica Calidad/Inicio de sesion_Civica Calidad/input_Contrasea_btnOk""))",Chrome 105.0.0.0,,,2022-09-22 15:54:04,2022-09-22 15:54:11,"6,671s",PASSED
waitForPageLoad(30),Chrome 105.0.0.0,,,2022-09-22 15:54:11,2022-09-22 15:54:11,"0,052s",PASSED
"click(findTestObject(""Pagina inicial/Page_Metro de Medelln - Sea bienvenido/em_Adquisicin_bv""))",Chrome 105.0.0.0,,,2022-09-22 15:54:11,2022-09-22 15:54:14,"2,838s",PASSED
waitForPageLoad(30),Chrome 105.0.0.0,,,2022-09-22 15:54:14,2022-09-22 15:54:14,"0,027s",PASSED
"click(findTestObject(""Consulta y ajuste de saldo/Page_Metro de Medellin -  Adquisicin/a_Punto de Venta_adq""))",Chrome 105.0.0.0,,,2022-09-22 15:54:14,2022-09-22 15:54:17,"2,944s",PASSED
waitForPageLoad(30),Chrome 105.0.0.0,,,2022-09-22 15:54:17,2022-09-22 15:54:17,"0,037s",PASSED
"click(findTestObject(""Consulta y ajuste de saldo/Page_Metro de Medelln - Adquisicin - Punto de Venta -  Ajuste de Carga/a_Ajuste de Carga_pdva""))",Chrome 105.0.0.0,,,2022-09-22 15:54:17,2022-09-22 15:54:23,"6,050s",PASSED
waitForPageLoad(30),Chrome 105.0.0.0,,,2022-09-22 15:54:23,2022-09-22 15:54:23,"0,041s",PASSED
"click(findTestObject(""Consulta y ajuste de saldo/Page_Metro de Medelln - Adquisicin - Punto de Venta -  Ajuste de Carga/a_Nuevo Registro_pdva""))",Chrome 105.0.0.0,,,2022-09-22 15:54:23,2022-09-22 15:54:38,"14,876s",PASSED
waitForPageLoad(30),Chrome 105.0.0.0,,,2022-09-22 15:54:38,2022-09-22 15:54:38,"0,036s",PASSED
"click(findTestObject(""Consulta y ajuste de saldo/Page_Metro de Medelln - Adquisicion - Punto de Venta -  Ajuste de Carga/input_Apellidos_ctl00ContentPlaceHolder1btnBuscarUsu_pdvab""))",Chrome 105.0.0.0,,,2022-09-22 15:54:38,2022-09-22 15:54:42,"4,039s",PASSED
waitForPageLoad(30),Chrome 105.0.0.0,,,2022-09-22 15:54:42,2022-09-22 15:54:42,"0,031s",PASSED
"switchToWindowUrl(""https://qabanco.civica.com.co/Civica/Usuarios/Registros/frmUsuariosPNTarjetaPopup.aspx?nombre=&cedula=&tarjeta="")",Chrome 105.0.0.0,,,2022-09-22 15:54:42,2022-09-22 15:54:42,"0,185s",PASSED
"focus(findTestObject(""Consulta y ajuste de saldo/Page_Metro Medelln -  ConsulPN/input_Nm. Tarjeta_txtNumeroTarjeta_cpn""))",Chrome 105.0.0.0,,,2022-09-22 15:54:42,2022-09-22 15:54:43,"0,768s",PASSED
"setText(findTestObject(""Consulta y ajuste de saldo/Page_Metro Medelln -  ConsulPN/input_Nm. Tarjeta_txtNumeroTarjeta_cpn""), ""1267161"")",Chrome 105.0.0.0,,,2022-09-22 15:54:43,2022-09-22 15:54:44,"1,033s",PASSED
"click(findTestObject(""Consulta y ajuste de saldo/Page_Metro Medelln -  ConsulPN/input_REGISTRO BLOQUEADO_btnBuscar_cpn""))",Chrome 105.0.0.0,,,2022-09-22 15:54:44,2022-09-22 15:54:45,"1,360s",PASSED
"click(findTestObject(""Consulta y ajuste de saldo/Page_Metro Medelln -  ConsulPN/img_cpn""))",Chrome 105.0.0.0,,,2022-09-22 15:54:45,2022-09-22 15:54:46,"0,543s",PASSED
"switchToWindowUrl(""https://qabanco.civica.com.co/Civica/Adquisicion/PuntodeVenta/frmAjusteCargaDet.aspx"")",Chrome 105.0.0.0,,,2022-09-22 15:54:46,2022-09-22 15:54:46,"0,101s",PASSED
"click(findTestObject(""Page_MedeMe - Adqcion - PdV -  Ajuste credito/Chechk credito""))",Chrome 105.0.0.0,,,2022-09-22 15:54:46,2022-09-22 15:54:46,"0,559s",PASSED
delay(2),Chrome 105.0.0.0,,,2022-09-22 15:54:46,2022-09-22 15:54:48,"2,085s",PASSED
"focus(findTestObject(""Consulta y ajuste de saldo/Page_Metro de Medelln - Adquisicion - Punto de Venta -  Ajuste de Carga/input_Valor_ctl00ContentPlaceHolder1txtValor_pdvab""))",Chrome 105.0.0.0,,,2022-09-22 15:54:48,2022-09-22 15:54:49,"0,573s",PASSED
"setText(findTestObject(""Consulta y ajuste de saldo/Page_Metro de Medelln - Adquisicion - Punto de Venta -  Ajuste de Carga/input_Valor_ctl00ContentPlaceHolder1txtValor_pdvab""), ""10000"")",Chrome 105.0.0.0,,,2022-09-22 15:54:49,2022-09-22 15:54:50,"0,872s",PASSED
"click(findTestObject(""Consulta y ajuste de saldo/Page_Metro de Medelln - Adquisicion - Punto de Venta -  Ajuste de Carga/select_- Seleccione - Motivo_pdvab""))",Chrome 105.0.0.0,,,2022-09-22 15:54:50,2022-09-22 15:54:50,"0,620s",PASSED
"sendKeys(findTestObject(""Consulta y ajuste de saldo/Page_Metro de Medelln - Adquisicion - Punto de Venta -  Ajuste de Carga/select_- Seleccione - Motivo_pdvab""), Keys.chord(ARROW_DOWN))",Chrome 105.0.0.0,,,2022-09-22 15:54:50,2022-09-22 15:54:51,"0,574s",PASSED
"sendKeys(findTestObject(""Consulta y ajuste de saldo/Page_Metro de Medelln - Adquisicion - Punto de Venta -  Ajuste de Carga/select_- Seleccione - Motivo_pdvab""), Keys.chord(ENTER))",Chrome 105.0.0.0,,,2022-09-22 15:54:51,2022-09-22 15:54:52,"0,537s",PASSED
"click(findTestObject(""Consulta y ajuste de saldo/Page_Metro de Medelln - Adquisicion - Punto de Venta -  Ajuste de Carga/textarea_Caracteres restantes  1000_ctl00ContentPlaceHolder1txtDescripcion_pdvab""))",Chrome 105.0.0.0,,,2022-09-22 15:54:52,2022-09-22 15:54:53,"1,875s",PASSED
"setText(findTestObject(""Consulta y ajuste de saldo/Page_Metro de Medelln - Adquisicion - Punto de Venta -  Ajuste de Carga/textarea_Caracteres restantes  1000_ctl00ContentPlaceHolder1txtDescripcion_pdvab""), ""Prueba venta de tarjetas"")",Chrome 105.0.0.0,,,2022-09-22 15:54:53,2022-09-22 15:54:55,"1,115s",PASSED
"click(findTestObject(""Consulta y ajuste de saldo/Page_Metro de Medelln - Adquisicion - Punto de Venta -  Ajuste de Carga/input_Operador Modificacin_ctl00ContentPlaceHolder1btnConfirmar_pdvab""))",Chrome 105.0.0.0,,,2022-09-22 15:54:55,2022-09-22 15:54:58,"2,952s",PASSED
"switchToWindowUrl(""https://qabanco.civica.com.co/Civica/Includes/frmMensagem.aspx"")",Chrome 105.0.0.0,,,2022-09-22 15:54:58,2022-09-22 15:54:58,"0,230s",PASSED
"click(findTestObject(""Consulta y ajuste de saldo/Page_Metro Medelln -  Mensaje/input_Operacin efectuada con xito_btnOk_cpn""))",Chrome 105.0.0.0,,,2022-09-22 15:54:58,2022-09-22 15:54:59,"1,071s",PASSED
"switchToWindowUrl(""https://qabanco.civica.com.co/Civica/Adquisicion/PuntodeVenta/frmAjusteCargaDet.aspx?Cod=0"")",Chrome 105.0.0.0,,,2022-09-22 15:54:59,2022-09-22 15:54:59,"0,108s",PASSED
"click(findTestObject(""Consulta y ajuste de saldo/Page_Metro de Medelln - Adquisicion - Punto de Venta -  Ajuste de Carga/a_Aprobacin Ajuste de Carga_pdvab""))",Chrome 105.0.0.0,,,2022-09-22 15:54:59,2022-09-22 15:55:01,"2,313s",PASSED
"click(findTestObject(""Consulta y ajuste de saldo/Page_Metro de Medelln - Adquisicin - Pdv -  AproAju Carga/select_- Seleccione - Motivo Aprobacion_adqa""))",Chrome 105.0.0.0,,,2022-09-22 15:55:01,2022-09-22 15:55:02,"0,696s",PASSED
"sendKeys(findTestObject(""Consulta y ajuste de saldo/Page_Metro de Medelln - Adquisicin - Pdv -  AproAju Carga/select_- Seleccione - Motivo Aprobacion_adqa""), Keys.chord(ARROW_DOWN))",Chrome 105.0.0.0,,,2022-09-22 15:55:02,2022-09-22 15:55:02,"0,513s",PASSED
"sendKeys(findTestObject(""Consulta y ajuste de saldo/Page_Metro de Medelln - Adquisicin - Pdv -  AproAju Carga/select_- Seleccione - Motivo Aprobacion_adqa""), Keys.chord(ENTER))",Chrome 105.0.0.0,,,2022-09-22 15:55:02,2022-09-22 15:55:03,"0,520s",PASSED
"click(findTestObject(""Consulta y ajuste de saldo/Page_Metro de Medelln - Adquisicin - Pdv -  AproAju Carga/input__ctl00ContentPlaceHolder1btnBuscar_adqa""))",Chrome 105.0.0.0,,,2022-09-22 15:55:03,2022-09-22 15:55:05,"1,620s",PASSED
waitForPageLoad(30),Chrome 105.0.0.0,,,2022-09-22 15:55:05,2022-09-22 15:55:05,"0,031s",PASSED
"click(findTestObject(""Consulta y ajuste de saldo/Page_Metro de Medelln - Adquisicin - Pdv -  AproAju Carga/input__ctl00ContentPlaceHolder1btnBuscar_adqa""))",Chrome 105.0.0.0,,,2022-09-22 15:55:05,2022-09-22 15:55:06,"1,382s",PASSED
waitForPageLoad(30),Chrome 105.0.0.0,,,2022-09-22 15:55:06,2022-09-22 15:55:06,"0,032s",PASSED
"check(findTestObject(""Consulta y ajuste de saldo/Page_Metro de Medelln - Adquisicin - Pdv -  AproAju Carga/Aprobar_todos""))",Chrome 105.0.0.0,,,2022-09-22 15:55:06,2022-09-22 15:55:07,"0,723s",PASSED
"click(findTestObject(""Consulta y ajuste de saldo/Page_Metro de Medelln - Adquisicin - Pdv -  AproAju Carga/input_registro(s) encontrado(s)_ctl00ContentPlaceHolder1btnAprobar_adqa""))",Chrome 105.0.0.0,,,2022-09-22 15:55:07,2022-09-22 15:55:07,"0,654s",PASSED
delay(2),Chrome 105.0.0.0,,,2022-09-22 15:55:07,2022-09-22 15:55:09,"2,006s",PASSED
"click(findTestObject(""Consulta y ajuste de saldo/Page_Metro de Medelln - Adquisicin - Pdv -  AproAju Carga/select_- Seleccione - Motivo Aprobacion_adqa""))",Chrome 105.0.0.0,,,2022-09-22 15:55:09,2022-09-22 15:55:10,"0,588s",PASSED
"sendKeys(findTestObject(""Consulta y ajuste de saldo/Page_Metro de Medelln - Adquisicin - Pdv -  AproAju Carga/select_- Seleccione - Motivo Aprobacion_adqa""), Keys.chord(ENTER))",Chrome 105.0.0.0,,,2022-09-22 15:55:10,2022-09-22 15:55:11,"0,744s",PASSED
"click(findTestObject(""Consulta y ajuste de saldo/Page_Metro de Medelln - Adquisicin - Pdv -  AproAju Carga/input__ctl00ContentPlaceHolder1btnBuscar_adqa""))",Chrome 105.0.0.0,,,2022-09-22 15:55:11,2022-09-22 15:55:12,"1,382s",PASSED
waitForPageLoad(30),Chrome 105.0.0.0,,,2022-09-22 15:55:12,2022-09-22 15:55:12,"0,021s",PASSED
"click(findTestObject(""Consulta y ajuste de saldo/Page_Metro de Medelln - Adquisicin - Pdv -  AproAju Carga/input__ctl00ContentPlaceHolder1btnBuscar_adqa""))",Chrome 105.0.0.0,,,2022-09-22 15:55:12,2022-09-22 15:55:14,"1,771s",PASSED
waitForPageLoad(30),Chrome 105.0.0.0,,,2022-09-22 15:55:14,2022-09-22 15:55:14,"0,037s",PASSED
"check(findTestObject(""Consulta y ajuste de saldo/Page_Metro de Medelln - Adquisicin - Pdv -  AproAju Carga/Aprobar_todos""))",Chrome 105.0.0.0,,,2022-09-22 15:55:14,2022-09-22 15:55:14,"0,544s",PASSED
"click(findTestObject(""Consulta y ajuste de saldo/Page_Metro de Medelln - Adquisicin - Pdv -  AproAju Carga/input_registro(s) encontrado(s)_ctl00ContentPlaceHolder1btnAprobar_adqa""))",Chrome 105.0.0.0,,,2022-09-22 15:55:14,2022-09-22 15:55:15,"0,547s",PASSED
acceptAlert(),Chrome 105.0.0.0,,,2022-09-22 15:55:15,2022-09-22 15:55:19,"4,438s",PASSED
delay(3),Chrome 105.0.0.0,,,2022-09-22 15:55:19,2022-09-22 15:55:23,"3,016s",PASSED
closeBrowser(),Chrome 105.0.0.0,,,2022-09-22 15:55:23,2022-09-22 15:55:26,"3,727s",PASSED
,,,,,,,
Test Cases/Ajuste credito - 20000,Chrome 105.0.0.0,,,2022-09-22 15:55:26,2022-09-22 15:56:41,"1m - 14,478s",PASSED
"openBrowser(""https://qabanco.civica.com.co/civica/index.aspx"")",Chrome 105.0.0.0,,,2022-09-22 15:55:27,2022-09-22 15:55:45,"17,418s",PASSED
waitForPageLoad(30),Chrome 105.0.0.0,,,2022-09-22 15:55:45,2022-09-22 15:55:45,"0,030s",PASSED
maximizeWindow(),Chrome 105.0.0.0,,,2022-09-22 15:55:45,2022-09-22 15:55:45,"0,163s",PASSED
"focus(findTestObject(""Inicio de sesion - Cívica Calidad/Inicio de sesion_Civica Calidad/input_Cdula usuario_txtLogin""))",Chrome 105.0.0.0,,,2022-09-22 15:55:45,2022-09-22 15:55:46,"0,920s",PASSED
"setText(findTestObject(""Inicio de sesion - Cívica Calidad/Inicio de sesion_Civica Calidad/input_Cdula usuario_txtLogin""), findTestData(""Usuarios/Usuarios login"").getValue(1, 1))",Chrome 105.0.0.0,,,2022-09-22 15:55:46,2022-09-22 15:55:48,"1,822s",PASSED
"focus(findTestObject(""Inicio de sesion - Cívica Calidad/Inicio de sesion_Civica Calidad/input_Contrasea_txtSena""))",Chrome 105.0.0.0,,,2022-09-22 15:55:48,2022-09-22 15:55:48,"0,562s",PASSED
"setText(findTestObject(""Inicio de sesion - Cívica Calidad/Inicio de sesion_Civica Calidad/input_Contrasea_txtSena""), findTestData(""Usuarios/Usuarios login"").getValue(2, 1))",Chrome 105.0.0.0,,,2022-09-22 15:55:48,2022-09-22 15:55:49,"0,897s",PASSED
"click(findTestObject(""Inicio de sesion - Cívica Calidad/Inicio de sesion_Civica Calidad/input_Contrasea_btnOk""))",Chrome 105.0.0.0,,,2022-09-22 15:55:49,2022-09-22 15:55:55,"5,881s",PASSED
waitForPageLoad(30),Chrome 105.0.0.0,,,2022-09-22 15:55:55,2022-09-22 15:55:55,"0,027s",PASSED
